sector,author,exptimeSeconds,mission
1,GSFC-ELEANOR-LITE,1800.0,TESS Sector 01
1,QLP,1800.0,TESS Sector 01
1,T16,1800.0,TESS Sector 01
1,TASOC,1800.0,TESS Sector 01
1,TGLC,1800.0,TESS Sector 01
3,GSFC-ELEANOR-LITE,1800.0,TESS Sector 03
3,QLP,1800.0,TESS Sector 03
3,T16,1800.0,TESS Sector 03
3,TASOC,1800.0,TESS Sector 03
3,TGLC,1800.0,TESS Sector 03
4,GSFC-ELEANOR-LITE,1800.0,TESS Sector 04
4,QLP,1800.0,TESS Sector 04
4,T16,1800.0,TESS Sector 04
4,TASOC,1800.0,TESS Sector 04
4,TGLC,1800.0,TESS Sector 04
6,GSFC-ELEANOR-LITE,1800.0,TESS Sector 06
6,QLP,1800.0,TESS Sector 06
6,T16,1800.0,TESS Sector 06
6,TASOC,1800.0,TESS Sector 06
6,TGLC,1800.0,TESS Sector 06
7,GSFC-ELEANOR-LITE,1800.0,TESS Sector 07
7,QLP,1800.0,TESS Sector 07
7,T16,1800.0,TESS Sector 07
7,TGLC,1800.0,TESS Sector 07
9,GSFC-ELEANOR-LITE,1800.0,TESS Sector 09
9,QLP,1800.0,TESS Sector 09
9,T16,1800.0,TESS Sector 09
9,TGLC,1800.0,TESS Sector 09
10,GSFC-ELEANOR-LITE,1800.0,TESS Sector 10
10,QLP,1800.0,TESS Sector 10
10,TGLC,1800.0,TESS Sector 10
11,GSFC-ELEANOR-LITE,1800.0,TESS Sector 11
11,QLP,1800.0,TESS Sector 11
11,TGLC,1800.0,TESS Sector 11
13,GSFC-ELEANOR-LITE,1800.0,TESS Sector 13
13,QLP,1800.0,TESS Sector 13
27,QLP,600.0,TESS Sector 27
28,QLP,600.0,TESS Sector 28
30,QLP,600.0,TESS Sector 30
31,QLP,600.0,TESS Sector 31
33,QLP,600.0,TESS Sector 33
34,QLP,600.0,TESS Sector 34
36,QLP,600.0,TESS Sector 36
37,QLP,600.0,TESS Sector 37
38,QLP,600.0,TESS Sector 38
62,QLP,200.0,TESS Sector 62
62,TESS-SPOC,200.0,TESS Sector 62
63,QLP,200.0,TESS Sector 63
63,TESS-SPOC,200.0,TESS Sector 63
64,QLP,200.0,TESS Sector 64
64,TESS-SPOC,200.0,TESS Sector 64
65,QLP,200.0,TESS Sector 65
65,TESS-SPOC,200.0,TESS Sector 65
66,QLP,200.0,TESS Sector 66
66,TESS-SPOC,200.0,TESS Sector 66
67,QLP,200.0,TESS Sector 67
67,TESS-SPOC,200.0,TESS Sector 67
89,QLP,200.0,TESS Sector 89
90,QLP,200.0,TESS Sector 90
93,QLP,200.0,TESS Sector 93
94,QLP,200.0,TESS Sector 94
97,QLP,200.0,TESS Sector 97
